,urls,proc_pid,udp,tcp,hosts,requests,domains,proc,file_created,dll_loaded,regkey_opened,command_line,regkey_read,regkey_written
325,151,-1,-1,-1,-1,-1,-1,-1,10,-1,746,-1,652,-1
326,141,-1,-1,-1,-1,-1,-1,-1,292,-1,221,-1,840,-1
327,372,-1,-1,-1,-1,-1,-1,-1,1471,-1,436,-1,1852,-1
328,477,-1,-1,-1,-1,-1,-1,-1,1512,-1,720,-1,1884,-1
329,364,-1,-1,-1,-1,-1,-1,-1,955,-1,457,-1,1804,-1
330,497,-1,-1,-1,-1,-1,-1,-1,1328,-1,592,-1,2675,-1
331,470,-1,-1,-1,-1,-1,-1,-1,1202,-1,201,-1,109,-1
332,265,-1,-1,-1,-1,-1,-1,-1,1198,-1,364,-1,2564,-1
333,84,-1,-1,-1,-1,-1,-1,-1,1080,-1,345,-1,1486,-1
334,367,-1,-1,-1,-1,-1,-1,-1,1396,-1,679,-1,806,-1
335,322,-1,-1,-1,-1,-1,-1,-1,1334,-1,104,-1,2131,-1
336,401,-1,-1,-1,-1,-1,-1,-1,1243,-1,631,-1,559,-1
337,214,-1,-1,-1,-1,-1,-1,-1,1492,-1,721,-1,2389,-1
338,278,-1,-1,-1,-1,-1,-1,-1,640,-1,302,-1,2500,-1
