,file,urls,proc_pid,udp,tcp,hosts,requests,domains,pid,process_name,ppid,file_created,dll_loaded,regkey_opened,command_line,regkey_read,regkey_written
25,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13999171, 'time': 90.5377869606018, 'dport': 53, 'sport': 59490}","{'src': '192.168.56.50', 'dst': '205.185.216.42', 'offset': 13471741, 'time': 17.92492699623108, 'dport': 80, 'sport': 49677}",52.177.166.224,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13999437, 'time': 12.81534481048584, 'dport': 53, 'sport': 59535}","{'src': '192.168.56.50', 'dst': '205.185.216.42', 'offset': 13473195, 'time': 24.092139959335327, 'dport': 80, 'sport': 49679}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13999759, 'time': 17.39458203315735, 'dport': 53, 'sport': 59712}","{'src': '192.168.56.50', 'dst': '23.14.81.129', 'offset': 13477727, 'time': 104.32976984977722, 'dport': 443, 'sport': 49728}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 14000154, 'time': 12.875411033630371, 'dport': 53, 'sport': 60273}","{'src': '192.168.56.50', 'dst': '23.47.68.94', 'offset': 13487061, 'time': 90.09958600997925, 'dport': 443, 'sport': 49715}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 14000432, 'time': 65.487233877182, 'dport': 53, 'sport': 61507}","{'src': '192.168.56.50', 'dst': '40.64.101.146', 'offset': 13499523, 'time': 61.403928995132446, 'dport': 443, 'sport': 49688}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 14000752, 'time': 21.615392923355103, 'dport': 53, 'sport': 62423}","{'src': '192.168.56.50', 'dst': '40.64.101.146', 'offset': 13508572, 'time': 64.29821300506592, 'dport': 443, 'sport': 49692}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 14001185, 'time': 109.46462988853455, 'dport': 53, 'sport': 62843}","{'src': '192.168.56.50', 'dst': '40.88.32.150', 'offset': 13570403, 'time': 97.01476287841797, 'dport': 443, 'sport': 49726}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 14001505, 'time': 61.50978684425354, 'dport': 53, 'sport': 64654}","{'src': '192.168.56.50', 'dst': '40.88.32.150', 'offset': 13582559, 'time': 105.12816882133484, 'dport': 443, 'sport': 49729}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 14001816, 'time': 77.52855396270752, 'dport': 53, 'sport': 65473}","{'src': '192.168.56.50', 'dst': '40.88.32.150', 'offset': 13594879, 'time': 109.76950883865356, 'dport': 443, 'sport': 49733}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '192.168.56.255', 'offset': 4361446, 'time': 3.30580997467041, 'dport': 137, 'sport': 137}","{'src': '13.32.86.21', 'dst': '192.168.56.50', 'offset': 836, 'time': -25.559088945388794, 'dport': 49729, 'sport': 443}",13.32.86.21,ctldl.windowsupdate.com,"{'ip': '', 'domain': 'DESKTOP-OAAOTHK.local'}",560.0,lsass.exe,460.0,N/A,N/A,N/A,N/A,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize\DisableMetaFiles,N/A
1,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '192.168.56.255', 'offset': 4364470, 'time': 91.4564380645752, 'dport': 138, 'sport': 138}","{'src': '172.217.3.131', 'dst': '192.168.56.50', 'offset': 2069, 'time': 115.07820701599121, 'dport': 49726, 'sport': 443}",172.217.3.131,kv601.prod.do.dsp.mp.microsoft.com,"{'ip': '172.217.2.195', 'domain': 'update.googleapis.com'}",5056.0,dllhost.exe,5032.0,N/A,N/A,N/A,N/A,N/A,N/A
2,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '224.0.0.251', 'offset': 5627715, 'time': 1.2478089332580566, 'dport': 5353, 'sport': 5353}","{'src': '192.168.56.50', 'dst': '13.107.246.10', 'offset': 2646, 'time': 31.12106704711914, 'dport': 443, 'sport': 49700}",13.107.246.10,fs.microsoft.com,"{'ip': '13.107.4.52', 'domain': 'www.msftconnecttest.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
